country,food_category,consumption,co2_emmission,category
Argentina,Pork,10.51,37.2,Animal Products
Argentina,Poultry,38.66,41.53,Animal Products
Argentina,Beef,55.48,1712.0,Animal Products
Argentina,Lamb & Goat,1.56,54.63,Animal Products
Argentina,Fish,4.359999999999999,6.96,Animal Products
Argentina,Eggs,11.39,10.46,Animal Products
Argentina,Milk - inc. cheese,195.08,277.87,Animal Products
Argentina,Wheat and Wheat Products,103.11,19.66,Non-Animal Products
Argentina,Rice,8.77,11.22,Non-Animal Products
Argentina,Soybeans,0.0,0.0,Non-Animal Products
Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,Non-Animal Products
Australia,Pork,24.14,85.44000000000001,Animal Products
Australia,Poultry,46.120000000000005,49.54,Animal Products
Australia,Beef,33.86,1044.85,Animal Products
Australia,Lamb & Goat,9.87,345.65000000000003,Animal Products
Australia,Fish,17.69,28.25,Animal Products
Australia,Eggs,8.51,7.819999999999999,Animal Products
Australia,Milk - inc. cheese,234.49,334.01,Animal Products
Australia,Wheat and Wheat Products,70.46000000000001,13.44,Non-Animal Products
Australia,Rice,11.03,14.12,Non-Animal Products
Australia,Soybeans,0.19,0.09,Non-Animal Products
Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,Non-Animal Products
Albania,Pork,10.88,38.51,Animal Products
Albania,Poultry,13.23,14.21,Animal Products
Albania,Beef,22.5,694.3,Animal Products
Albania,Lamb & Goat,15.32,536.5,Animal Products
Albania,Fish,3.85,6.15,Animal Products
Albania,Eggs,12.45,11.44,Animal Products
Albania,Milk - inc. cheese,303.72,432.62,Animal Products
Albania,Wheat and Wheat Products,138.64,26.44,Non-Animal Products
Albania,Rice,7.78,9.96,Non-Animal Products
Albania,Soybeans,0.0,0.0,Non-Animal Products
Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72,Non-Animal Products
Iceland,Pork,21.69,76.77,Animal Products
Iceland,Poultry,26.87,28.86,Animal Products
Iceland,Beef,13.36,412.26,Animal Products
Iceland,Lamb & Goat,21.12,739.62,Animal Products
Iceland,Fish,74.41000000000001,118.81,Animal Products
Iceland,Eggs,8.239999999999998,7.57,Animal Products
Iceland,Milk - inc. cheese,225.82,321.66,Animal Products
Iceland,Wheat and Wheat Products,72.92,13.91,Non-Animal Products
Iceland,Rice,3.89,4.98,Non-Animal Products
Iceland,Soybeans,0.11,0.05,Non-Animal Products
Iceland,Nuts inc. Peanut Butter,3.88,6.87,Non-Animal Products
New Zealand,Pork,22.29,78.9,Animal Products
New Zealand,Poultry,34.98,37.58,Animal Products
New Zealand,Beef,22.49,693.99,Animal Products
New Zealand,Lamb & Goat,18.91,662.23,Animal Products
New Zealand,Fish,20.36,32.51,Animal Products
New Zealand,Eggs,9.91,9.1,Animal Products
New Zealand,Milk - inc. cheese,137.25,195.5,Animal Products
New Zealand,Wheat and Wheat Products,76.91000000000001,14.67,Non-Animal Products
New Zealand,Rice,9.16,11.72,Non-Animal Products
New Zealand,Soybeans,0.44,0.2,Non-Animal Products
New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55,Non-Animal Products
United States of America,Pork,27.64,97.83,Animal Products
United States of America,Poultry,50.01,53.720000000000006,Animal Products
United States of America,Beef,36.24,1118.29,Animal Products
United States of America,Lamb & Goat,0.43,15.06,Animal Products
United States of America,Fish,12.35,19.72,Animal Products
United States of America,Eggs,14.58,13.39,Animal Products
United States of America,Milk - inc. cheese,254.69,362.78,Animal Products
United States of America,Wheat and Wheat Products,80.43,15.34,Non-Animal Products
United States of America,Rice,6.88,8.8,Non-Animal Products
United States of America,Soybeans,0.04,0.02,Non-Animal Products
United States of America,Nuts inc. Peanut Butter,7.859999999999999,13.91,Non-Animal Products
Uruguay,Pork,16.84,59.61,Animal Products
Uruguay,Poultry,27.45,29.49,Animal Products
Uruguay,Beef,29.1,897.9599999999999,Animal Products
Uruguay,Lamb & Goat,8.229999999999999,288.21,Animal Products
Uruguay,Fish,6.53,10.43,Animal Products
Uruguay,Eggs,13.14,12.07,Animal Products
Uruguay,Milk - inc. cheese,210.54,299.89,Animal Products
Uruguay,Wheat and Wheat Products,109.31,20.85,Non-Animal Products
Uruguay,Rice,11.5,14.72,Non-Animal Products
Uruguay,Soybeans,0.01,0.0,Non-Animal Products
Uruguay,Nuts inc. Peanut Butter,0.95,1.6800000000000002,Non-Animal Products
Luxembourg,Pork,43.58,154.25,Animal Products
Luxembourg,Poultry,21.37,22.96,Animal Products
Luxembourg,Beef,29.88,922.03,Animal Products
Luxembourg,Lamb & Goat,1.6700000000000002,58.48,Animal Products
Luxembourg,Fish,23.09,36.87,Animal Products
Luxembourg,Eggs,14.64,13.45,Animal Products
Luxembourg,Milk - inc. cheese,255.3,363.65,Animal Products
Luxembourg,Wheat and Wheat Products,103.2,19.68,Non-Animal Products
Luxembourg,Rice,4.2,5.37,Non-Animal Products
Luxembourg,Soybeans,0.04,0.02,Non-Animal Products
Luxembourg,Nuts inc. Peanut Butter,0.93,1.65,Non-Animal Products
Brazil,Pork,12.6,44.6,Animal Products
Brazil,Poultry,45.0,48.34,Animal Products
Brazil,Beef,39.25,1211.1699999999998,Animal Products
Brazil,Lamb & Goat,0.62,21.71,Animal Products
Brazil,Fish,10.01,15.98,Animal Products
Brazil,Eggs,8.98,8.25,Animal Products
Brazil,Milk - inc. cheese,149.28,212.63,Animal Products
Brazil,Wheat and Wheat Products,53.0,10.11,Non-Animal Products
Brazil,Rice,32.13,41.120000000000005,Non-Animal Products
Brazil,Soybeans,3.62,1.63,Non-Animal Products
Brazil,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002,Non-Animal Products
Kazakhstan,Pork,10.36,36.67,Animal Products
Kazakhstan,Poultry,18.38,19.74,Animal Products
Kazakhstan,Beef,23.38,721.4599999999999,Animal Products
Kazakhstan,Lamb & Goat,9.56,334.79,Animal Products
Kazakhstan,Fish,5.21,8.32,Animal Products
Kazakhstan,Eggs,8.29,7.619999999999999,Animal Products
Kazakhstan,Milk - inc. cheese,288.12,410.4,Animal Products
Kazakhstan,Wheat and Wheat Products,92.31,17.6,Non-Animal Products
Kazakhstan,Rice,7.319999999999999,9.37,Non-Animal Products
Kazakhstan,Soybeans,0.03,0.01,Non-Animal Products
Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1,Non-Animal Products
Sweden,Pork,37.0,130.96,Animal Products
Sweden,Poultry,16.64,17.87,Animal Products
Sweden,Beef,24.58,758.49,Animal Products
Sweden,Lamb & Goat,1.41,49.38,Animal Products
Sweden,Fish,23.86,38.1,Animal Products
Sweden,Eggs,13.37,12.28,Animal Products
Sweden,Milk - inc. cheese,341.23,486.05,Animal Products
Sweden,Wheat and Wheat Products,79.59,15.18,Non-Animal Products
Sweden,Rice,5.96,7.63,Non-Animal Products
