country,co2_emmission
Albania,1777.85
Algeria,707.88
Angola,412.99
Argentina,2172.4
Armenia,1109.93
Australia,1938.6599999999999
Austria,1211.16
Bahamas,1192.9
Bangladesh,374.18
Barbados,889.11
Belarus,960.22
Belgium,1102.09
Belize,433.08
Bermuda,1483.28
Bolivia,873.0300000000001
Bosnia and Herzegovina,628.1800000000001
Botswana,576.8399999999999
Brazil,1616.7299999999998
Bulgaria,560.16
Cambodia,452.41
Cameroon,283.61
Canada,1437.16
Chile,1099.57
China,640.19
Colombia,781.53
Congo,262.54999999999995
Costa Rica,891.27
Croatia,996.15
Cuba,591.69
Cyprus,741.37
Czech Republic,760.09
Denmark,1498.18
Ecuador,883.88
Egypt,673.92
El Salvador,434.04
Estonia,830.72
Ethiopia,241.92000000000002
Fiji,716.0899999999999
Finland,1464.63
France,1420.05
French Polynesia,1424.69
Gambia,293.66
Georgia,527.03
Germany,1066.29
Ghana,217.87
Greece,1497.29
Grenada,439.85
Guatemala,314.98
Guinea,432.71
Honduras,434.08
Hong Kong SAR. China,1494.28
Hungary,576.79
Iceland,1731.36
India,282.62
Indonesia,367.51
Iran,445.27000000000004
Ireland,1459.67
Israel,1405.71
Italy,1206.33
Jamaica,450.83
Japan,644.0400000000001
Jordan,587.96
Kazakhstan,1575.08
Kenya,530.84
Kuwait,1345.44
Latvia,633.58
Liberia,203.38
Lithuania,868.9000000000001
Luxembourg,1598.41
Macedonia,600.75
Madagascar,440.75
Malawi,207.94
Malaysia,554.64
Maldives,903.46
Malta,1147.91
Mauritius,672.07
Mexico,797.13
Morocco,576.42
Mozambique,141.4
Myanmar,563.8
Namibia,362.11
Nepal,526.22
Netherlands,1292.82
New Caledonia,918.62
New Zealand,1750.95
Nicaragua,377.69
Niger,542.8900000000001
Nigeria,267.79
Norway,1381.8899999999999
Oman,1296.7
Pakistan,669.07
Panama,928.4599999999999
Paraguay,876.6700000000001
Peru,402.84
Philippines,455.28000000000003
Poland,607.4
Portugal,1174.28
Romania,766.3000000000001
Russia,1007.6600000000001
Rwanda,181.63
Saudi Arabia,692.86
Senegal,469.43
Serbia,723.34
Sierra Leone,300.40999999999997
Slovakia,560.34
Slovenia,1111.5600000000002
South Africa,892.4100000000001
South Korea,822.05
Spain,988.47
Sri Lanka,294.46
Swaziland,678.94
Sweden,1527.03
Switzerland,1356.75
Taiwan. ROC,559.55
Tanzania,343.02
Thailand,378.0
Togo,188.09
Trinidad and Tobago,610.41
Tunisia,618.89
Turkey,897.01
United States of American,1718.86
Uganda,304.72
Ukraine,665.73
United Arab Emirates,897.32
United Kingdom,1241.6299999999999
Uruguay,1634.9099999999999
Venezuela,1104.1
Vietnam,641.51
Zambia,225.3
Zimbabwe,350.33
