country,co2_emmission_all,food_category,consumption,co2_emmission
Albania,1777.85,Pork,10.88,38.51
Albania,1777.85,Poultry,13.23,14.21
Albania,1777.85,Beef,22.5,694.3
Albania,1777.85,Lamb & Goat,15.32,536.5
Albania,1777.85,Fish,3.85,6.15
Albania,1777.85,Eggs,12.45,11.44
Albania,1777.85,Milk - inc. cheese,303.72,432.62
Albania,1777.85,Wheat and Wheat Products,138.64,26.44
Albania,1777.85,Rice,7.78,9.96
Albania,1777.85,Soybeans,0.0,0.0
Albania,1777.85,Nuts inc. Peanut Butter,4.359999999999999,7.72
Algeria,707.88,Pork,0.0,0.0
Algeria,707.88,Poultry,7.42,7.970000000000001
Algeria,707.88,Beef,5.6,172.8
Algeria,707.88,Lamb & Goat,7.689999999999999,269.3
Algeria,707.88,Fish,3.74,5.970000000000001
Algeria,707.88,Eggs,8.06,7.4
Algeria,707.88,Milk - inc. cheese,141.53,201.6
Algeria,707.88,Wheat and Wheat Products,185.42,35.36
Algeria,707.88,Rice,2.97,3.8
Algeria,707.88,Soybeans,0.0,0.0
Algeria,707.88,Nuts inc. Peanut Butter,2.08,3.68
Angola,412.99,Pork,8.89,31.47
Angola,412.99,Poultry,17.330000000000002,18.62
Angola,412.99,Beef,8.42,259.82
Angola,412.99,Lamb & Goat,1.08,37.82
Angola,412.99,Fish,15.239999999999998,24.33
Angola,412.99,Eggs,1.11,1.02
Angola,412.99,Milk - inc. cheese,12.3,17.52
Angola,412.99,Wheat and Wheat Products,40.720000000000006,7.77
Angola,412.99,Rice,8.12,10.39
Angola,412.99,Soybeans,0.52,0.23
Angola,412.99,Nuts inc. Peanut Butter,2.26,4.0
Argentina,2172.4,Pork,10.51,37.2
Argentina,2172.4,Poultry,38.66,41.53
Argentina,2172.4,Beef,55.48,1712.0
Argentina,2172.4,Lamb & Goat,1.56,54.63
Argentina,2172.4,Fish,4.359999999999999,6.96
Argentina,2172.4,Eggs,11.39,10.46
Argentina,2172.4,Milk - inc. cheese,195.08,277.87
Argentina,2172.4,Wheat and Wheat Products,103.11,19.66
Argentina,2172.4,Rice,8.77,11.22
Argentina,2172.4,Soybeans,0.0,0.0
Argentina,2172.4,Nuts inc. Peanut Butter,0.49,0.8700000000000001
Armenia,1109.93,Pork,9.67,34.230000000000004
Armenia,1109.93,Poultry,13.35,14.34
Armenia,1109.93,Beef,19.66,606.6700000000001
Armenia,1109.93,Lamb & Goat,3.02,105.76
Armenia,1109.93,Fish,4.359999999999999,6.96
Armenia,1109.93,Eggs,11.69,10.739999999999998
Armenia,1109.93,Milk - inc. cheese,209.03,297.74
Armenia,1109.93,Wheat and Wheat Products,130.6,24.91
Armenia,1109.93,Rice,3.18,4.07
Armenia,1109.93,Soybeans,0.0,0.0
Armenia,1109.93,Nuts inc. Peanut Butter,2.55,4.51
Australia,1938.66,Pork,24.14,85.44000000000001
Australia,1938.66,Poultry,46.120000000000005,49.54
Australia,1938.66,Beef,33.86,1044.85
Australia,1938.66,Lamb & Goat,9.87,345.65000000000003
Australia,1938.66,Fish,17.69,28.25
Australia,1938.66,Eggs,8.51,7.819999999999999
Australia,1938.66,Milk - inc. cheese,234.49,334.01
Australia,1938.66,Wheat and Wheat Products,70.46000000000001,13.44
Australia,1938.66,Rice,11.03,14.12
Australia,1938.66,Soybeans,0.19,0.09
Australia,1938.66,Nuts inc. Peanut Butter,8.729999999999999,15.45
Austria,1211.16,Pork,52.56,186.04
Austria,1211.16,Poultry,18.610000000000003,19.99
Austria,1211.16,Beef,17.14,528.9
Austria,1211.16,Lamb & Goat,1.16,40.620000000000005
Austria,1211.16,Fish,12.16,19.42
Austria,1211.16,Eggs,14.68,13.49
Austria,1211.16,Milk - inc. cheese,258.09,367.62
Austria,1211.16,Wheat and Wheat Products,81.1,15.47
Austria,1211.16,Rice,3.7,4.73
Austria,1211.16,Soybeans,2.06,0.93
Austria,1211.16,Nuts inc. Peanut Butter,7.88,13.95
Bahamas,1192.9,Pork,32.74,115.88
Bahamas,1192.9,Poultry,45.74,49.13
Bahamas,1192.9,Beef,19.92,614.69
Bahamas,1192.9,Lamb & Goat,5.22,182.8
Bahamas,1192.9,Fish,18.8,30.02
Bahamas,1192.9,Eggs,6.2,5.7
Bahamas,1192.9,Milk - inc. cheese,104.76,149.22
Bahamas,1192.9,Wheat and Wheat Products,39.98,7.619999999999999
Bahamas,1192.9,Rice,23.97,30.67
Bahamas,1192.9,Soybeans,0.09,0.04
Bahamas,1192.9,Nuts inc. Peanut Butter,4.03,7.13
Bangladesh,374.18,Pork,0.0,0.0
Bangladesh,374.18,Poultry,1.4,1.5
Bangladesh,374.18,Beef,1.28,39.5
Bangladesh,374.18,Lamb & Goat,1.33,46.58
Bangladesh,374.18,Fish,18.07,28.85
Bangladesh,374.18,Eggs,2.08,1.91
Bangladesh,374.18,Milk - inc. cheese,21.91,31.21
Bangladesh,374.18,Wheat and Wheat Products,17.47,3.33
Bangladesh,374.18,Rice,171.73,219.76
Bangladesh,374.18,Soybeans,0.61,0.27
Bangladesh,374.18,Nuts inc. Peanut Butter,0.72,1.27
Barbados,889.11,Pork,8.3,29.38
Barbados,889.11,Poultry,42.620000000000005,45.78
Barbados,889.11,Beef,13.13,405.16
Barbados,889.11,Lamb & Goat,4.08,142.88000000000002
Barbados,889.11,Fish,37.41,59.73
Barbados,889.11,Eggs,9.61,8.83
Barbados,889.11,Milk - inc. cheese,110.48,157.37
Barbados,889.11,Wheat and Wheat Products,65.71000000000001,12.53
Barbados,889.11,Rice,15.66,20.04
Barbados,889.11,Soybeans,0.1,0.05
Barbados,889.11,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999
Belarus,960.22,Pork,40.37,142.89
Belarus,960.22,Poultry,31.29,33.61
Belarus,960.22,Beef,17.110000000000003,527.98
Belarus,960.22,Lamb & Goat,0.11,3.85
Belarus,960.22,Fish,15.75,25.15
Belarus,960.22,Eggs,15.86,14.57
Belarus,960.22,Milk - inc. cheese,133.73,190.49
Belarus,960.22,Wheat and Wheat Products,60.48,11.53
Belarus,960.22,Rice,3.17,4.06
Belarus,960.22,Soybeans,0.3,0.14
Belarus,960.22,Nuts inc. Peanut Butter,3.36,5.95
Belgium,1102.09,Pork,38.65,136.8
