country,co2_emmission_all,food_category_x,consumption,co2_emmission_x,food_category_y,co2_emmission_y
Albania,1777.85,Pork,10.88,38.51,Animal Products,1733.73
Albania,1777.85,Pork,10.88,38.51,Non-Animal Products,44.120000000000005
Albania,1777.85,Poultry,13.23,14.21,Animal Products,1733.73
Albania,1777.85,Poultry,13.23,14.21,Non-Animal Products,44.120000000000005
Albania,1777.85,Beef,22.5,694.3,Animal Products,1733.73
Albania,1777.85,Beef,22.5,694.3,Non-Animal Products,44.120000000000005
Albania,1777.85,Lamb & Goat,15.32,536.5,Animal Products,1733.73
Albania,1777.85,Lamb & Goat,15.32,536.5,Non-Animal Products,44.120000000000005
Albania,1777.85,Fish,3.85,6.15,Animal Products,1733.73
Albania,1777.85,Fish,3.85,6.15,Non-Animal Products,44.120000000000005
Albania,1777.85,Eggs,12.45,11.44,Animal Products,1733.73
Albania,1777.85,Eggs,12.45,11.44,Non-Animal Products,44.120000000000005
Albania,1777.85,Milk - inc. cheese,303.72,432.62,Animal Products,1733.73
Albania,1777.85,Milk - inc. cheese,303.72,432.62,Non-Animal Products,44.120000000000005
Albania,1777.85,Wheat and Wheat Products,138.64,26.44,Animal Products,1733.73
Albania,1777.85,Wheat and Wheat Products,138.64,26.44,Non-Animal Products,44.120000000000005
Albania,1777.85,Rice,7.78,9.96,Animal Products,1733.73
Albania,1777.85,Rice,7.78,9.96,Non-Animal Products,44.120000000000005
Albania,1777.85,Soybeans,0.0,0.0,Animal Products,1733.73
Albania,1777.85,Soybeans,0.0,0.0,Non-Animal Products,44.120000000000005
Albania,1777.85,Nuts inc. Peanut Butter,4.359999999999999,7.72,Animal Products,1733.73
Albania,1777.85,Nuts inc. Peanut Butter,4.359999999999999,7.72,Non-Animal Products,44.120000000000005
Algeria,707.88,Pork,0.0,0.0,Animal Products,665.04
Algeria,707.88,Pork,0.0,0.0,Non-Animal Products,42.84
Algeria,707.88,Poultry,7.42,7.970000000000001,Animal Products,665.04
Algeria,707.88,Poultry,7.42,7.970000000000001,Non-Animal Products,42.84
Algeria,707.88,Beef,5.6,172.8,Animal Products,665.04
Algeria,707.88,Beef,5.6,172.8,Non-Animal Products,42.84
Algeria,707.88,Lamb & Goat,7.689999999999999,269.3,Animal Products,665.04
Algeria,707.88,Lamb & Goat,7.689999999999999,269.3,Non-Animal Products,42.84
Algeria,707.88,Fish,3.74,5.970000000000001,Animal Products,665.04
Algeria,707.88,Fish,3.74,5.970000000000001,Non-Animal Products,42.84
Algeria,707.88,Eggs,8.06,7.4,Animal Products,665.04
Algeria,707.88,Eggs,8.06,7.4,Non-Animal Products,42.84
Algeria,707.88,Milk - inc. cheese,141.53,201.6,Animal Products,665.04
Algeria,707.88,Milk - inc. cheese,141.53,201.6,Non-Animal Products,42.84
Algeria,707.88,Wheat and Wheat Products,185.42,35.36,Animal Products,665.04
Algeria,707.88,Wheat and Wheat Products,185.42,35.36,Non-Animal Products,42.84
Algeria,707.88,Rice,2.97,3.8,Animal Products,665.04
Algeria,707.88,Rice,2.97,3.8,Non-Animal Products,42.84
Algeria,707.88,Soybeans,0.0,0.0,Animal Products,665.04
Algeria,707.88,Soybeans,0.0,0.0,Non-Animal Products,42.84
Algeria,707.88,Nuts inc. Peanut Butter,2.08,3.68,Animal Products,665.04
Algeria,707.88,Nuts inc. Peanut Butter,2.08,3.68,Non-Animal Products,42.84
Angola,412.99,Pork,8.89,31.47,Animal Products,390.6
Angola,412.99,Pork,8.89,31.47,Non-Animal Products,22.39
Angola,412.99,Poultry,17.330000000000002,18.62,Animal Products,390.6
Angola,412.99,Poultry,17.330000000000002,18.62,Non-Animal Products,22.39
Angola,412.99,Beef,8.42,259.82,Animal Products,390.6
Angola,412.99,Beef,8.42,259.82,Non-Animal Products,22.39
Angola,412.99,Lamb & Goat,1.08,37.82,Animal Products,390.6
Angola,412.99,Lamb & Goat,1.08,37.82,Non-Animal Products,22.39
Angola,412.99,Fish,15.239999999999998,24.33,Animal Products,390.6
Angola,412.99,Fish,15.239999999999998,24.33,Non-Animal Products,22.39
Angola,412.99,Eggs,1.11,1.02,Animal Products,390.6
