country,food_category,consumption,co2_emission,category,co2_emission_category,co2_emission_all,co2_emission_animal,co2_emission_non_animals,co2_emission_range
Argentina,Pork,10.51,37.2,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Poultry,38.66,41.53,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Beef,55.48,1712.0,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Lamb & Goat,1.56,54.63,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Fish,4.359999999999999,6.96,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Eggs,11.39,10.46,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Milk - inc. cheese,195.08,277.87,Animal Products,2140.65,2172.4,2140.65,31.75,1500+
Argentina,Wheat and Wheat Products,103.11,19.66,Non-Animal Products,31.75,2172.4,2140.65,31.75,1500+
Argentina,Rice,8.77,11.22,Non-Animal Products,31.75,2172.4,2140.65,31.75,1500+
Argentina,Soybeans,0.0,0.0,Non-Animal Products,31.75,2172.4,2140.65,31.75,1500+
Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001,Non-Animal Products,31.75,2172.4,2140.65,31.75,1500+
Australia,Pork,24.14,85.44000000000001,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Poultry,46.120000000000005,49.54,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Beef,33.86,1044.85,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Lamb & Goat,9.87,345.65000000000003,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Fish,17.69,28.25,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Eggs,8.51,7.819999999999999,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Milk - inc. cheese,234.49,334.01,Animal Products,1895.56,1938.66,1895.56,43.1,1500+
Australia,Wheat and Wheat Products,70.46000000000001,13.44,Non-Animal Products,43.1,1938.66,1895.56,43.1,1500+
Australia,Rice,11.03,14.12,Non-Animal Products,43.1,1938.66,1895.56,43.1,1500+
Australia,Soybeans,0.19,0.09,Non-Animal Products,43.1,1938.66,1895.56,43.1,1500+
Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45,Non-Animal Products,43.1,1938.66,1895.56,43.1,1500+
Albania,Pork,10.88,38.51,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Poultry,13.23,14.21,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Beef,22.5,694.3,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Lamb & Goat,15.32,536.5,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Fish,3.85,6.15,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Eggs,12.45,11.44,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Milk - inc. cheese,303.72,432.62,Animal Products,1733.73,1777.85,1733.73,44.120000000000005,1500+
Albania,Wheat and Wheat Products,138.64,26.44,Non-Animal Products,44.120000000000005,1777.85,1733.73,44.120000000000005,1500+
Albania,Rice,7.78,9.96,Non-Animal Products,44.120000000000005,1777.85,1733.73,44.120000000000005,1500+
Albania,Soybeans,0.0,0.0,Non-Animal Products,44.120000000000005,1777.85,1733.73,44.120000000000005,1500+
Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72,Non-Animal Products,44.120000000000005,1777.85,1733.73,44.120000000000005,1500+
Iceland,Pork,21.69,76.77,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Poultry,26.87,28.86,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Beef,13.36,412.26,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Lamb & Goat,21.12,739.62,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Fish,74.41000000000001,118.81,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Eggs,8.239999999999998,7.57,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Milk - inc. cheese,225.82,321.66,Animal Products,1705.55,1731.36,1705.55,25.81,1500+
Iceland,Wheat and Wheat Products,72.92,13.91,Non-Animal Products,25.81,1731.36,1705.55,25.81,1500+
